AD1	AD4	AD5	AD6	AD7	AD8	AP2	AP3	AP4	AP5	AP6	AP7	CON1	CON3	CON4	CON5	CON6	CON8
7803.03121	8365.232087	7933.685897	3369.763592	3604.329775	4350.004055	4942.740464	5481.535069	9622.376464	7483.240671	4921.991584	4970.729874	6472.284638	5172.757024	6108.697398	4840.56013	3542.166311	7802.821088
10606.30635	11148.38054	8898.318455	4617.964331	4543.526721	4488.789491	5334.714719	6095.600488	11219.65959	8825.734415	4238.043719	6434.854052	7581.200485	5545.344096	7499.222154	5620.937248	3695.579091	9645.357787
17077.98557	19984.23683	20150.618	12124.85591	9339.605177	13270.76838	15341.26333	15907.87497	19523.3526	16591.76152	18336.19836	12415.42756	13316.83863	22574.03179	13620.70725	13723.17054	13452.66742	25922.89524
18027.50605	21027.76018	20690.37296	12405.76564	9475.251674	13435.7368	15882.12464	16098.154	20407.54528	17165.10822	18291.08283	12535.90688	14344.10136	22350.58884	14470.06973	13891.85021	13522.20599	26344.74996
448.4392494	414.3433758	37.89395323	207.5000073	75.72561335	0	15.83108216	210.592327	992.762372	131.7790797	36.52353963	156.7286341	52.57364501	12.67594937	327.5392324	49.2975772	0	60.06808727
1492.439733	1135.749263	525.9655425	363.3251596	389.7840744	354.2715013	898.5217888	1098.965106	1441.387086	1228.513874	421.4306145	1417.367149	871.6931417	782.2359867	712.7720814	745.0748946	302.9108734	1088.592962
12198.32313	15435.48529	15876.70215	10354.75792	7562.965048	11418.17367	13197.5269	13292.59906	15082.68518	13504.46162	15971.08153	9727.733953	9605.410593	19461.22062	10447.6214	11244.13615	11804.0681	21771.28264
8.323386542	592.3986952	1370.884793	265.2183143	357.081306	446.6357239	799.5495135	238.436939	1698.947838	1331.602644	1093.102845	0	1957.923139	1119.620233	1891.683898	1830.933636	944.7843705	2901.078511
9374.768799	9250.277871	8399.533561	3631.542586	4938.405469	6090.556611	6582.610544	7633.819739	11241.60392	9369.891536	8759.587291	7060.859523	7782.159113	12086.17929	6991.127411	7646.874322	6233.395938	13786.23071
2053.66346	2169.399848	3576.511922	1193.846165	1565.697256	1491.190923	2015.567785	2296.980609	3526.756785	3573.929712	2018.950774	2146.141256	1764.652382	2611.71997	2540.163916	2013.36394	1583.832604	3235.234526
0	0	248.1022864	366.2711333	20.62582779	85.0485393	15.84405856	123.8671585	100.4580918	0	66.4376402	203.6629036	133.131013	49.1633736	406.8399604	36.84331298	99.12155743	227.6749616
2224.075006	2641.321792	607.0937956	435.7459839	720.731739	122.8791887	172.6496148	265.2437641	491.8967067	0	71.23256381	564.9786138	572.9972609	37.83207122	1347.467298	1233.501541	102.2742495	380.5434887
11649.47274	12415.26727	13658.15083	7685.107949	6352.70882	9313.814948	8165.759545	9614.592035	12510.14637	8815.118015	15332.01352	9368.025447	10118.67454	19848.77222	10244.2284	10829.77109	8735.608846	22439.04513
16463.10923	16618.19302	17163.64008	8763.906086	7720.519169	10209.16445	9477.684622	11568.95545	16698.29962	11616.6476	16209.40843	11638.66023	13188.21676	21025.11528	12995.70448	12272.62475	9436.262083	24611.44631
12510.62328	12749.71258	12149.93754	5803.751914	5672.035325	5826.830474	6013.956395	7962.964546	12789.26898	8574.189763	6747.591757	8642.53888	10686.24497	8875.086159	8539.064885	7900.764849	4735.400935	14987.82005
123.0628549	446.0032984	1267.206103	1066.075829	1312.57371	2060.118787	2418.057899	3570.78923	4731.523944	3276.382882	2365.351255	1449.214001	1777.092613	3012.036238	1691.359708	1615.195565	1808.369798	3590.912159
273.9817095	571.5574214	4603.887865	1193.941562	1317.907293	1769.999723	3637.89166	2818.148618	4173.704053	4391.230834	4407.626145	2281.301403	2423.558523	2421.004519	6160.019568	4111.01367	2734.097628	4180.3514
0	0	81.64172619	166.5335796	6.396030282	28.55093389	4.794846405	40.43405701	31.06487999	0	20.70797677	86.18318506	41.14351769	15.14594628	134.2943984	11.17849482	31.68707475	71.28237164
422.5418931	15.88121897	74.69521136	180.388945	49.03865318	93.42909738	404.3170691	576.1473842	792.4114787	34.72990683	26.60337107	259.4771094	543.5760257	264.3513285	642.1088932	361.0941544	52.87392044	542.8431232
