pathway	AD1	AD5	AD6	AD8	AP2	AP3	AP4	AP5	AP6	AP7	CON1	CON3	CON4	CON5	CON6	CON8
GLYCOCAT-PWY	14003.804340449497	12067.013692816176	5035.2768891204105	4072.3033180295893	4359.163256601461	6537.592569594849	11170.140779685293	6640.111606935836	4616.238969539451	7517.155752794575	10344.055869255924	5329.895313898857	8174.212381869394	6881.079131648414	3321.439384341727	11364.441847517148
GLYCOGENSYNTH-PWY	15374.827998631783	11845.02064306723	7029.705476447831	7579.3703037020305	5973.069784563691	9608.182056870539	12714.592951709477	7557.679024979865	11794.121261671386	10538.189101719428	13239.416102099438	21793.086341635746	8372.132414319889	9446.908545916865	7977.247527522157	24888.82580088355
GLYCOL-GLYOXDEG-PWY	5.327100824663689	0.0	0.0	14.10796900128925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLYCOLYSIS	16886.80395501413	19732.37728355964	9784.564323687999	10597.255051751468	11503.10827442007	12137.291777038312	18102.57292412686	13447.29700835287	14672.875936306133	10444.953414546464	12645.689537214	11929.217247287821	12919.250461712381	10516.103233961185	7864.159674880802	19186.199696388652
GLYCOLYSIS-E-D	9829.597997876936	15484.92469711572	7195.755288579735	6436.205682800814	7957.890244509795	7366.123245462078	12118.005644582274	9953.231239358782	8584.251561866242	5853.073269439882	4411.020133653597	2588.530802531819	7780.539051961039	7766.239744523557	5279.178749001963	8541.214120568846
GLYCOLYSIS-TCA-GLYOX-BYPASS	23.80935871614373	0.0	0.0	86.15629295461648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLYOXYLATE-BYPASS	13.300116806704963	0.0	0.0	19.909494506400115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GOLPDLCAT-PWY	3138.6416894668655	3040.9884927471157	2740.3746118613767	3524.0608285264816	2565.6583678273214	2402.5219845523397	3411.630659578485	2150.416566142205	5026.045677117851	1714.3315005383847	29.877988593154296	0.0	1533.46523998548	2434.594542050804	1370.4391981169692	949.031243429277
HEME-BIOSYNTHESIS-II	122.42453535278794	214.53551287916122	178.42948928827008	398.1334862499688	350.64826249864853	777.9617041198057	1105.7272269251082	507.0756288305499	376.14171876285735	273.7387515143547	274.9858165401411	507.64921420383604	367.6689704302087	178.28828742481562	269.3103110659145	493.05986541263565
HEMESYN2-PWY	5494.5237555127915	3010.7039929341354	1730.6303416156	1383.5787095969501	2007.2784495475557	2834.5367132412953	5582.1180664487165	3269.735496161321	1623.8242696190127	3336.453873765641	3534.4591137771067	2163.3571356611988	3447.2484503261767	2681.5827885138715	1326.00323592095	5448.5193638158
