normalized	AD1	AD5	AD6	AD8	AP2	AP3	AP4	AP5	AP6	AP7	CON1	CON3	CON4	CON5	CON6	CON8
0eebf22536faa70d10968eb4972b2736	34.0	29.0	22.0	17.0	21.0	14.0	0.0	0.0	0.0	13.0	0.0	13.0	0.0	11.0	0.0	0.0
0f3d5ab93a1bdff74c4c3fbe0ad3206b	48.5	30.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	25.5	26.0	5.5	0.0	6.0	0.0	0.0
0fdcb15125926008f79a128031b3448b	0.0	0.0	7.0	0.0	0.0	20.0	0.0	19.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0
1099950f329f9b0cc24b900fcc0a0d89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
10cffeae66880b9c81b6248f39f17562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0
112adc0ffa68eed2345db733879b40e0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	7.0	0.0	7.0	0.0	0.0	0.0
114d2848dc929d1a26b8bfa252235155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0
1183cea45066e2b1d63ee62f59a4d069	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1194d18ebb458c31461a27b976959000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
11ea8da3179e422f7c55632508ff7ef5	10.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11f677d62a3ec0969a65966eb7050c7f	381.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	8.0	11.0	0.0	0.0	0.0
123e8afb142134d5ba98230fad9af166	0.0	0.0	0.0	0.0	0.0	33.0	0.0	61.0	0.0	25.0	9.0	0.0	0.0	0.0	18.0	39.0
12f86a506e45fc587b5b643030d5b629	0.0	0.0	0.0	0.0	0.0	2.75	0.0	0.0	0.0	1.75	0.0	2.25	6.5	4.0	0.0	3.0
1427410368a7fecb6d56d735437d5ba1	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
143d26e50f457d01671a14213d117218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
1499e5ab221fb759ce2d3763ac56b759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0
14bbdef7888394af48a13ea2bd927db7	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	21.0	8.0	0.0	0.0	5.0	0.0	0.0
151e42d762610156c1ecec31f8acfa87	0.0	0.0	0.0	3.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
15a00c122a16115d832cab88e5a4a918	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
160efa2a41c4cec475f79506e42374ca	0.0	50.25	100.25	53.75	68.75	68.5	49.0	32.5	46.75	64.25	27.5	87.25	28.5	24.75	35.5	39.0
169426fb63cf4456256ca973996ac586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	5.0	0.0	0.0
16c6f384c3a28228f7b68b1154c7feec	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0
16cd2aac20c25e86ac42480fb9d61b14	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16d389a6f02ef11e7016e1aadc83f261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17ab34201671f799caffcc3d27b70a2c	111.0	29.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	18.0	14.0	0.0	20.0	18.0	0.0	11.0
183fe7e529396a44d1650b3b478d7314	9.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18884cbc0f457899b5467702b80f29b2	0.0	0.0	0.0	11.0	16.0	0.0	0.0	0.0	0.0	15.0	0.0	15.0	0.0	28.0	10.0	0.0
1996e1aa486e155bae39e6865a49c191	85.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19d1ac8febd7ed7dcecb8d12eb4954c1	0.0	0.0	32.0	0.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1a1f4973124dc9816375efc812ac2a21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0
1a54657afd268b0d7e1d5893d79ad619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1ac26d21ffae184b4aa30672114cac5f	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1b1866acfc4e964443f0a1ab12a7216d	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1b1d113910d331f5ff136ff118ae0258	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
