OTUID,TOTAL,AD,AP,CON
2338e16dcfef0e1b5cb27da81fe59664,356.1666667,390.5,522,156
24c4fc8d92f312082431066119d04204,0.111111111,0,0.333333333,0
24dc8767676a9e8ba6de699f80d24e7a,0.055555556,0.166666667,0,0
25362e54b2396a81f9e113419dd98905,0.666666667,0,0,2
25a192f0b729be243d04cc593fdfccce,1.666666667,5,0,0
25f70f12e551826633afa8769428f90a,0.666666667,2,0,0
2600eb1fc8569dc356b031c82a282aa0,5,6.166666667,4.5,4.333333333
26672648de2181a2c04ca33e88a1afd1,0.833333333,2.5,0,0
26e23794e07c317178b6881a0521e3ce,0.222222222,0,0,0.666666667
273314edefe5cc51abc11266f8d0c074,0.111111111,0,0,0.333333333
2734cae6fb1193b99fa501d6168b273e,2.222222222,0,0,6.666666667
275f5d7388062a98d2bdce0dd59bfd7d,10.38888889,5.666666667,21,4.5
277fdf63cae1ed08041a21be01b91953,23,67.66666667,1.333333333,0
280bb2b566730f0f4789993ca17ff357,0.111111111,0,0.333333333,0
280cee65d2c6f4f04cb4c12450e0ce84,0.444444444,0,1.333333333,0
283bb90bbef8d5eaa4ff6fddc6725806,0.111111111,0,0,0.333333333
28c8823588cb4b3946d2de7685605e61,1.666666667,0,0,5
29ba1135e5ed248a64839a8571230863,18.94444444,10.66666667,10.33333333,35.83333333
2a7a5cb9153f70133cb37251e8374117,9.888888889,0,0.666666667,29
2ac69717065b96e5ac45137ad1c725a3,0.611111111,1.333333333,0.5,0
2b036c10ab6b64e84b22b84711aef6ef,4.111111111,0,3.5,8.833333333
2b7c0068298ebe7bad8d7debd9795f6c,0.111111111,0,0.333333333,0
2bd2f1b380bc3255d4532f30690431bf,3.666666667,11,0,0
2bf06c9a8754351bc68c7fefd8b6151b,15.5,9.666666667,19.33333333,17.5
2c3a5409306662337b339e7c79e65dda,0.111111111,0,0,0.333333333
2c72272f87ad3fb1bb14bc3c2477a2d0,0.111111111,0,0.333333333,0
