"feature"	"enrich_group"	"ef_lda"	"pvalue"	"padj"
"d__Bacteria| p__Actinobacteriota| c__Actinobacteria| o__Bifidobacteriales"	"CON"	3.44664636472391	0.0345016487490504	0.0345016487490504
"d__Bacteria| p__Actinobacteriota| c__Actinobacteria"	"CON"	3.44613166909667	0.0345016487490504	0.0345016487490504
"d__Bacteria| p__Actinobacteriota| c__Actinobacteria| o__Bifidobacteriales| f__Bifidobacteriaceae| g__Bifidobacterium| g__Bifidobacterium_"	"CON"	3.4382339219149	0.0345016487490504	0.0345016487490504
"d__Bacteria| p__Actinobacteriota| c__Actinobacteria| o__Bifidobacteriales| f__Bifidobacteriaceae| g__Bifidobacterium"	"CON"	3.43717702411265	0.0345016487490504	0.0345016487490504
"d__Bacteria| p__Actinobacteriota| c__Actinobacteria| o__Bifidobacteriales| f__Bifidobacteriaceae"	"CON"	3.43412459579616	0.0345016487490504	0.0345016487490504
"d__Bacteria| p__Firmicutes| c__Clostridia| o__Clostridia_UCG-014| f__Clostridia_UCG-014| g__Clostridia_UCG-014| g__Clostridia_UCG-014_ s__unidentified"	"CON"	3.29634693957155	0.0155995946388996	0.0155995946388996
"d__Bacteria| p__Firmicutes| c__Bacilli| o__Acholeplasmatales| f__Acholeplasmataceae| g__Anaeroplasma"	"CON"	2.66277164935071	0.0206265767774765	0.0206265767774765
"d__Bacteria| p__Firmicutes| c__Bacilli| o__Acholeplasmatales| f__Acholeplasmataceae| g__Anaeroplasma| g__Anaeroplasma_ s__uncultured_bacterium"	"CON"	2.66261965193057	0.0206265767774765	0.0206265767774765
"d__Bacteria| p__Firmicutes| c__Bacilli| o__Acholeplasmatales"	"CON"	2.66249173179421	0.0206265767774765	0.0206265767774765
"d__Bacteria| p__Firmicutes| c__Bacilli| o__Acholeplasmatales| f__Acholeplasmataceae"	"CON"	2.66224739169853	0.0206265767774765	0.0206265767774765
"d__Bacteria| p__Firmicutes| c__Clostridia| o__Oscillospirales| f__Oscillospiraceae| g__NK4A214_group| g__NK4A214_group_ s__unidentified"	"CON"	2.62391646739914	0.0258430450595841	0.0258430450595841
