sequence	16S_rRNA_Count	metadata_NSTI
5d06951cab74f080ed1f8581c7cbfdf6	1	0.704023
5d2f0d410604218eab1553c0ba95e87b	1	0.389418
5d3041aa731be2695ce5893b43076e02	1	0.769459
5dd973a030569248ca96ad682787eeb0	4	0.296441
5e17a5cb4962111829d5a3162b84253a	1	0.140642
5e59e92b5203cf88b45515feb4dd90a1	1	0.92793
5e61e1707fb2129594d211ba454470e4	2	0.044674
5ed5a1891a09adf426bf256d58494dc8	1	0.038516
5f5ca726fd3f6d6e6a1b3f6811443574	1	0.733374
5fb94f804715b4d90f191c413efef44e	4	0.07245
5fc6f86d85f03ca7537c25730cfcf460	1	0.214172
5fc798b1df3bcda5e68c5d88d8d39402	1	0.241493
600c9f3de23a5834c65cdf6b56a7c81d	4	0.225175
6010509f0fb5b3456410405a3ab013bd	1	0.285573
605c17c16f33905999869770413b1a8f	5	0.044446
6166cd8b69d6af6ba6e209d4d4f839eb	1	0.275732
6216ac91ccb6fcb35c42af895d76fca3	1	0.129509
6260bcc30e89c8a76a19a1856119c587	4	0.259647
633986f25dacddd71be7f93667c0698e	1	0.140642
63a54eea7fab6fa833b58a42c8ebf1f8	1	0.179889
63afd5222bbcd2d49e083f44f9da3aba	1	0.140856
64849bcfdeafe20a484dacaa977328b3	1	0.209866
64ec23bbacc27e5722f89417bb862c68	4	0.317517
654c629392a9dc666b681833938d785c	1	0.512686
6653c92dc7618280b132aeae2a9291cc	1	0.079873
666fefaeb47f3141846c043009098eb6	2	0.017555
668316497189c0c158711815de76dec2	1	0.453852
683aada938c65b71b6f281012d0d257b	1	1.015223
68d030b7e708ecc13d8f3cec5de977a4	1	0.834706
68f8f7604872a6d4fed9b2b43064aee4	1	0.080987
68fa6eb93675602681b474cb0ce9048b	1	0.141862
692908d9e8dc244214e861f18774ffb2	1	0.083825
694f413b53b76692d2bf1cd02091399c	1	0.038855
6b34d59835b77db6bc62c89c1eabde0b	1	0.377153
6b92c0dfde94e01d7eb99d2054c77497	4	0.246861
6bf2840673de7a07c6136b4d66f9d325	1	0.00015
6c1bfd075db534f844351ffc0b8d4f6a	1	0.167779
6c31248aab400bbb31133caffa277913	1	0.127704
6cb3f6fd935a831537c9052b9a4284e2	1	0.209866
6d26cf14a267d2be14f2c5c6524e3f84	1	0.090984
6d94ad7799a01df0a525a125c6246f7e	1	0.321665
6de89a7f3f4c4935de7823e5729416f4	4	0.550004
6ded34f7b682053ff5b9b7e4ef929a22	1	0.09817
6e019166f485dbd32194a2d44edc4df1	1	0.209866
6e408cc3ba68e93a8d2a36d67381d445	4	0.259163
6e4d95842a0cae9e21b538e8ed99b34d	1	0.12296
6e68a3370037593908fa7837d0d66c81	4	0.57591
6ec2b2eb686d8f62db101849f0744d6e	1	0.095268
6ec37daa396eb7394e7958cbaebe668b	1	0.459844
6effbd2be9f793ea5295f877770c51ed	2	0.068767
6f196f110f8f466aab948250105bedd7	1	0.304142
6f9ba20837b8830fd396b63636074215	2	0.361304
7063183370922c8b131fd30058593501	1	0.063704
70ccc60eef16412b7023c4ac6641f6cd	1	0.226102
713be73748483aef292180e9d0cc0210	2	0.060783
72bc22315544a201ede9dec6af150e98	4	0.265315
74a161fc1e467ad0d4aa28d7e35f7479	1	0.497857
74a4886b0aa290a2fa8ca0d908b2f912	1	0.140856
74b35ae658465e7512c2b61f7906c907	1	0.134264
74bcd29b01bcbe0d1abe1c5e26eec0e8	1	0.361773
7604f4f89594f923ac1cf31a38880c5e	1	0.164882
76130162b8af1cec6a2efaffcf0e9154	1	0.209279
7643e215cbe9703dd7abe9d4488265b3	1	0.192623
77c25cf90fc6b99d02c4d1f242803ee8	4	0.372476
783d1e50542235ebffaed7e3cc5ffd6d	1	0.382591
785a624a55ee5dab4966dfc4d63e7a4d	4	0.241951
78719309d76cb95f30db21b7eff615c3	1	0.077408
